case,count,min,mean,p50,p95,p99,max,p99_vs_reference_alone,decode_window_B_per_cycle,last_decode_done
alone,128,43,43.0,43,43,43,43,1.0,4.0,12267
prefill,128,43,44.640625,43,48,48,48,1.1162790697674418,4.0,12267
kv,128,43,44.515625,43,50,51,51,1.186046511627907,4.0,12267
mixed,128,43,45.3671875,44,53,53,54,1.2325581395348837,4.0,12271
mixed_link64,128,39,44.15625,43,57,59,59,1.372093023255814,4.0,12264
mixed_slots32,128,43,45.3671875,44,53,53,54,1.2325581395348837,4.0,12271
mixed_fragment2,128,43,44.890625,44,49,56,56,1.302325581395349,4.0,12268
mixed_bank_ii1,128,40,41.859375,41,47,47,47,1.0930232558139534,4.0,12269
mixed_ddr64,128,43,45.703125,44,54,54,54,1.255813953488372,4.0,12278
mixed_background_half_rate,128,43,45.046875,44,48,48,48,1.1162790697674418,4.0,12268
mixed_phase17,128,43,45.1484375,44,51,51,51,1.186046511627907,4.0,12268
mixed_phase37,128,43,45.1953125,44,53,53,54,1.2325581395348837,4.0,12267
