point,width_bits,depth,split,centralized,outstanding,packet_bytes,credit_latency,vcs_per_vn,fragment_window,dma_window,cycles,bytes_per_cycle
0,256,8,False,False,32,256,2,1,1,1,8074,24.350755511518454
1,256,8,False,False,32,256,2,1,1,2,7357,26.723936387114314
2,256,8,False,False,32,256,2,1,1,4,7357,26.723936387114314
3,256,8,False,False,32,256,2,1,2,1,6516,30.173112338858196
4,256,8,False,False,32,256,2,1,2,2,6781,28.993953694145407
5,256,8,False,False,32,256,2,1,2,4,6781,28.993953694145407
6,256,8,False,False,32,256,2,1,4,1,6395,30.74401876465989
7,256,8,False,False,32,256,2,1,4,2,6331,31.05480966671932
8,256,8,False,False,32,256,2,1,4,4,6331,31.05480966671932
9,256,8,False,False,32,256,2,1,8,1,6337,31.025406343695757
10,256,8,False,False,32,256,2,1,8,2,5883,33.419683834778176
11,256,8,False,False,32,256,2,1,8,4,5883,33.419683834778176
12,256,8,False,False,32,256,2,1,8,4,5953,33.02670922224089
13,256,8,False,False,32,256,2,1,8,4,5883,33.419683834778176
14,256,8,False,False,32,256,2,1,8,4,5861,33.54512881760792
15,256,8,False,False,32,256,2,1,8,4,5893,33.36297301883591
16,256,8,False,False,32,256,2,1,8,4,10330,19.03272023233301
17,256,8,False,False,32,256,2,1,8,4,6334,31.04010104199558
