case,decode_p95,decode_p99,p99_ratio,prefill_window_B_per_cycle,kv_window_B_per_cycle,all_done_cycle,shape_stalls,shaped_bytes
alone,43,43,1.0,0.0,0.0,12269,0,0
mixed,53,53,1.2325581395348837,14.0,13.5,24032,0,0
fifo_limit4,53,53,1.2325581395348837,14.0,13.5,24032,0,0
priority_limit4,53,53,1.2325581395348837,14.0,13.5,24032,0,0
fifo_limit1,336,338,7.8604651162790695,5.375,5.0,44696,0,0
priority_limit1,336,338,7.8604651162790695,5.375,5.0,44696,0,0
shape8,44,44,1.0232558139534884,8.0,4.0,76715,833780,884736
shape16,52,52,1.2093023255813953,16.0,8.0,39915,393713,884736
combined8,44,44,1.0232558139534884,8.0,4.0,76715,833780,884736
combined16,52,52,1.2093023255813953,16.0,8.0,39915,393713,884736
combined8_burst256,44,44,1.0232558139534884,8.0,4.0,76811,836236,884736
combined8_age32,44,44,1.0232558139534884,8.0,4.0,76715,833780,884736
