point,width_bits,depth,split,centralized,outstanding,packet_bytes,credit_latency,vcs_per_vn,cycles,bytes_per_cycle
0,128,2,False,False,16,256,2,1,676,27.266272189349113
1,128,2,True,False,16,256,2,1,655,28.140458015267175
2,128,8,False,False,16,256,2,1,661,27.88502269288956
3,128,8,True,False,16,256,2,1,626,29.44408945686901
4,256,2,False,False,16,256,2,1,478,38.56066945606695
5,256,2,True,False,16,256,2,1,476,38.72268907563025
6,256,8,False,False,16,256,2,1,464,39.724137931034484
7,256,8,True,False,16,256,2,1,427,43.166276346604214
8,512,2,False,False,16,256,2,1,417,44.201438848920866
9,512,2,True,False,16,256,2,1,405,45.51111111111111
10,512,8,False,False,16,256,2,1,407,45.287469287469285
11,512,8,True,False,16,256,2,1,383,48.12532637075718
12,256,8,False,True,16,256,2,1,887,20.780157835400225
13,256,8,False,False,4,256,2,1,467,39.46895074946467
14,256,8,False,False,16,64,2,1,1098,16.78688524590164
15,256,8,False,False,16,256,8,1,446,41.327354260089685
16,256,8,False,False,16,256,2,2,437,42.17848970251716
17,256,8,False,False,16,256,2,1,462,39.896103896103895
18,256,8,False,False,16,256,2,1,634,29.07255520504732
19,256,8,False,False,16,256,2,1,712,25.8876404494382
