architecture,workload,phase,status,makespan,payload_bytes_per_cycle,p99,bank_utilization,rmw,hol,buffer_bits,switch_proxy_bits,run_dir
B8_G16_modulo0,stream,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_modulo0-stream-66c06d455ba678ad
B8_G16_modulo0,stride,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_modulo0-stride-5c854fdb66d37411
B8_G16_modulo0,xor_adversary,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_modulo0-xor_adversary-993089ff857389c2
B8_G16_xor0,stream,mapping,PASS,137,118.725,122,0.927536,0,0,3055616,132608,runs/mapping-B8_G16_xor0-stream-377f124606a82438
B8_G16_xor0,stride,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor0-stride-db99ab1338a8c0c6
B8_G16_xor0,xor_adversary,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor0-xor_adversary-7a95e33d2f64dbfb
B8_G16_xor1,stream,mapping,PASS,145,112.219,129,0.876712,0,0,3055616,132608,runs/mapping-B8_G16_xor1-stream-b48f2517f691a9ba
B8_G16_xor1,stride,mapping,PASS,144,112.993,128,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor1-stride-c48d115b1ac3dff7
B8_G16_xor1,xor_adversary,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor1-xor_adversary-351bf14b8a08bd33
B8_G16_xor2,stream,mapping,PASS,144,112.993,129,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor2-stream-b40028750008b72d
B8_G16_xor2,stride,mapping,PASS,144,112.993,129,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor2-stride-91a40b03ee3356a3
B8_G16_xor2,xor_adversary,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor2-xor_adversary-1ab21c1f8b635d51
B8_G16_xor3,stream,mapping,PASS,144,112.993,129,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor3-stream-540343ea834f0063
B8_G16_xor3,stride,mapping,PASS,148,109.96,132,0.85906,0,0,3055616,132608,runs/mapping-B8_G16_xor3-stride-07fc74ceda7705a4
B8_G16_xor3,xor_adversary,mapping,PASS,144,112.993,127,0.882759,0,0,3055616,132608,runs/mapping-B8_G16_xor3-xor_adversary-7eb66738c59e543e
B8_G32_modulo0,stream,mapping,PASS,76,212.779,61,0.831169,0,0,3055616,132608,runs/mapping-B8_G32_modulo0-stream-0b161f7d02a76cf5
B8_G32_modulo0,stride,mapping,PASS,163,99.9024,144,0.390244,0,0,3055616,132608,runs/mapping-B8_G32_modulo0-stride-3f6feb3da7751ed7
B8_G32_modulo0,xor_adversary,mapping,PASS,163,99.9024,144,0.390244,0,0,3055616,132608,runs/mapping-B8_G32_modulo0-xor_adversary-ccc0ded62aabfcb5
B8_G32_xor0,stream,mapping,PASS,73,221.405,58,0.864865,0,0,3055616,132608,runs/mapping-B8_G32_xor0-stream-8801290c3c94b80d
B8_G32_xor0,stride,mapping,PASS,80,202.272,63,0.790123,0,0,3055616,132608,runs/mapping-B8_G32_xor0-stride-55604ca854085545
B8_G32_xor0,xor_adversary,mapping,PASS,163,99.9024,144,0.390244,0,0,3055616,132608,runs/mapping-B8_G32_xor0-xor_adversary-7933792641dc559c
B8_G32_xor1,stream,mapping,PASS,81,199.805,65,0.780488,0,0,3055616,132608,runs/mapping-B8_G32_xor1-stream-5f9571c02decc99a
B8_G32_xor1,stride,mapping,PASS,85,190.512,68,0.744186,0,0,3055616,132608,runs/mapping-B8_G32_xor1-stride-479972e38efa23de
B8_G32_xor1,xor_adversary,mapping,PASS,163,99.9024,144,0.390244,0,0,3055616,132608,runs/mapping-B8_G32_xor1-xor_adversary-9f8825ea652ef0fe
B8_G32_xor2,stream,mapping,PASS,83,195.048,67,0.761905,0,0,3055616,132608,runs/mapping-B8_G32_xor2-stream-3bc5622ba80524e6
B8_G32_xor2,stride,mapping,PASS,83,195.048,67,0.761905,0,0,3055616,132608,runs/mapping-B8_G32_xor2-stride-8ff815ac2a9f2220
B8_G32_xor2,xor_adversary,mapping,PASS,163,99.9024,144,0.390244,0,0,3055616,132608,runs/mapping-B8_G32_xor2-xor_adversary-a0678d5798ed5d73
B8_G32_xor3,stream,mapping,PASS,80,202.272,65,0.790123,0,0,3055616,132608,runs/mapping-B8_G32_xor3-stream-23fa92ddb782dc57
B8_G32_xor3,stride,mapping,PASS,78,207.392,62,0.810127,0,0,3055616,132608,runs/mapping-B8_G32_xor3-stride-5590686f6b7a5de6
B8_G32_xor3,xor_adversary,mapping,PASS,163,99.9024,144,0.390244,0,0,3055616,132608,runs/mapping-B8_G32_xor3-xor_adversary-7d81c762ea011c97
B8_G64_modulo0,stream,mapping,PASS,42,381.023,27,0.744186,0,0,3055616,132608,runs/mapping-B8_G64_modulo0-stream-e05805176991d7bf
B8_G64_modulo0,stride,mapping,PASS,149,109.227,134,0.213333,0,0,3055616,132608,runs/mapping-B8_G64_modulo0-stride-f3ab737c581f75ec
B8_G64_modulo0,xor_adversary,mapping,PASS,149,109.227,134,0.213333,0,0,3055616,132608,runs/mapping-B8_G64_modulo0-xor_adversary-7ce37a5e772368b7
B8_G64_xor0,stream,mapping,PASS,41,390.095,26,0.761905,0,0,3055616,132608,runs/mapping-B8_G64_xor0-stream-246f26d85a0713d1
B8_G64_xor0,stride,mapping,PASS,48,334.367,32,0.653061,0,0,3055616,132608,runs/mapping-B8_G64_xor0-stride-d60a9927f140333c
B8_G64_xor0,xor_adversary,mapping,PASS,149,109.227,134,0.213333,0,0,3055616,132608,runs/mapping-B8_G64_xor0-xor_adversary-7f0a2f578ecb92e0
B8_G64_xor1,stream,mapping,PASS,44,364.089,29,0.711111,0,0,3055616,132608,runs/mapping-B8_G64_xor1-stream-751ffb1e5065e53f
B8_G64_xor1,stride,mapping,PASS,46,348.596,31,0.680851,0,0,3055616,132608,runs/mapping-B8_G64_xor1-stride-1aafa6836e32a2b9
B8_G64_xor1,xor_adversary,mapping,PASS,149,109.227,134,0.213333,0,0,3055616,132608,runs/mapping-B8_G64_xor1-xor_adversary-88be31603d7102dc
B8_G64_xor2,stream,mapping,PASS,44,364.089,28,0.711111,0,0,3055616,132608,runs/mapping-B8_G64_xor2-stream-3a9fade2c85cbcf1
B8_G64_xor2,stride,mapping,PASS,44,364.089,28,0.711111,0,0,3055616,132608,runs/mapping-B8_G64_xor2-stride-4f3960ef6c1d1ba9
B8_G64_xor2,xor_adversary,mapping,PASS,149,109.227,134,0.213333,0,0,3055616,132608,runs/mapping-B8_G64_xor2-xor_adversary-26f62e0545d61b8d
B8_G64_xor3,stream,mapping,PASS,44,364.089,28,0.711111,0,0,3055616,132608,runs/mapping-B8_G64_xor3-stream-e7902c08efae0287
B8_G64_xor3,stride,mapping,PASS,41,390.095,26,0.761905,0,0,3055616,132608,runs/mapping-B8_G64_xor3-stride-6f1c621acbbc95ef
